,2019-02-01,2019-02-02,2019-02-03,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-09,2019-02-10,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15,2019-02-16,2019-02-17,2019-02-18,2019-02-19,2019-02-20,2019-02-21,2019-02-22,2019-02-23,2019-02-24,2019-02-25,2019-02-26,2019-02-27,2019-02-28
4_2,1,,,1,1,2,2,1,,,1,1,1,0,1,,,1,0,0,1,2,,,0,1,1,0
4_3,0,,,1,2,1,1,3,,,1,2,2,2,1,,,1,2,2,2,2,,,3,2,2,2
12_2,3,,,3,2,2,2,2,,,2,2,2,2,2,,,2,2,3,3,3,,,3,2,2,3
4_1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1
6_3,1,,,1,1,0,1,1,,,1,1,0,1,1,,,1,1,0,1,1,,,1,1,0,1
